Frequency NON_00 NON_01 NON_11 IBD_00 IBD_01 IBD_11
0.442 0.31774139 0.48103603 0.20122258 0.55811854 0.01151571 0.43036575
0.444 0.31317259 0.48551364 0.20131377 0.55435905 0.01102508 0.43461587
0.446 0.31039253 0.48678243 0.20282504 0.55047349 0.01121245 0.43831406
0.448 0.30940122 0.48484239 0.20575639 0.54646186 0.01207782 0.44146032
0.450 0.30840991 0.48290235 0.20868774 0.54245023 0.01294319 0.44460658
0.452 0.30741859 0.48096232 0.21161909 0.53843860 0.01380856 0.44775283
0.454 0.30642728 0.47902228 0.21455044 0.53442698 0.01467393 0.45089909
0.456 0.30524484 0.47724329 0.21751187 0.53258194 0.01514659 0.45227147
0.458 0.30387127 0.47562535 0.22050338 0.53290351 0.01522654 0.45186995
0.460 0.30249770 0.47400741 0.22349489 0.53322507 0.01530650 0.45146843
0.462 0.30112413 0.47238947 0.22648640 0.53354664 0.01538645 0.45106692
0.464 0.29975056 0.47077153 0.22947792 0.53386820 0.01546640 0.45066540
0.466 0.29782794 0.47030364 0.23186842 0.53316385 0.01548309 0.45135306
0.468 0.29535627 0.47098581 0.23365792 0.53143359 0.01543652 0.45312989
0.470 0.29288460 0.47166797 0.23544742 0.52970333 0.01538994 0.45490672
0.472 0.29041294 0.47235014 0.23723692 0.52797307 0.01534337 0.45668356
0.474 0.28794127 0.47303231 0.23902642 0.52624281 0.01529679 0.45846039
0.476 0.28536077 0.47380606 0.24083317 0.52470037 0.01563132 0.45966831
0.478 0.28267144 0.47467139 0.24265717 0.52334574 0.01634694 0.46030732
0.480 0.27998211 0.47553673 0.24448117 0.52199110 0.01706257 0.46094633
0.482 0.27729278 0.47640206 0.24630517 0.52063647 0.01777820 0.46158533
0.484 0.27460344 0.47726739 0.24812916 0.51928184 0.01849382 0.46222434
0.486 0.27222501 0.47816210 0.24961289 0.51699661 0.01865838 0.46434501
0.488 0.27015747 0.47908617 0.25075636 0.51378078 0.01827187 0.46794736
0.490 0.26808993 0.48001024 0.25189982 0.51056495 0.01788535 0.47154970
0.492 0.26602240 0.48093432 0.25304329 0.50734911 0.01749884 0.47515204
0.494 0.26395486 0.48185839 0.25418675 0.50413328 0.01711233 0.47875439
0.496 0.26203793 0.48167118 0.25629089 0.50122424 0.01735500 0.48142076
0.498 0.26027160 0.48037270 0.25935570 0.49862198 0.01822685 0.48315117
0.500 0.25850528 0.47907421 0.26242051 0.49601972 0.01909870 0.48488158
0.502 0.25673895 0.47777572 0.26548532 0.49341746 0.01997055 0.48661199
0.504 0.25497263 0.47647724 0.26855013 0.49081520 0.02084240 0.48834240
0.506 0.25324107 0.47519904 0.27155989 0.48920861 0.02096659 0.48982480
0.508 0.25154426 0.47394113 0.27451461 0.48859771 0.02034311 0.49105918
0.510 0.24984746 0.47268322 0.27746932 0.48798680 0.01971963 0.49229357
0.512 0.24815066 0.47142531 0.28042403 0.48737589 0.01909615 0.49352796
0.514 0.24645386 0.47016740 0.28337875 0.48676498 0.01847267 0.49476235
0.516 0.24439523 0.47085565 0.28474912 0.48715185 0.01759401 0.49525414
0.518 0.24197476 0.47349007 0.28453517 0.48853650 0.01646017 0.49500334
0.520 0.23955430 0.47612448 0.28432122 0.48992114 0.01532633 0.49475253
0.522 0.23713384 0.47875890 0.28410726 0.49130578 0.01419249 0.49450173
0.524 0.23471337 0.48139332 0.28389331 0.49269042 0.01305865 0.49425093
0.526 0.23252560 0.48162733 0.28584707 0.49049654 0.01260759 0.49689587
0.528 0.23057052 0.47946093 0.28996855 0.48472413 0.01283932 0.50243655
0.530 0.22861544 0.47729453 0.29409003 0.47895173 0.01307105 0.50797722
0.532 0.22666036 0.47512813 0.29821151 0.47317932 0.01330278 0.51351790
0.534 0.22470528 0.47296174 0.30233299 0.46740691 0.01353451 0.51905858
0.536 0.22299424 0.47131754 0.30568823 0.46373316 0.01355728 0.52270956
0.538 0.22152724 0.47019553 0.30827723 0.46215806 0.01337109 0.52447085
0.540 0.22006024 0.46907353 0.31086623 0.46058296 0.01318491 0.52623214
0.542 0.21859324 0.46795152 0.31345524 0.45900786 0.01299872 0.52799342
0.544 0.21712624 0.46682952 0.31604424 0.45743275 0.01281253 0.52975471
0.546 0.21500818 0.46799453 0.31699729 0.45752689 0.01268052 0.52979260
0.548 0.21223905 0.47144657 0.31631439 0.45929026 0.01260267 0.52810708
0.550 0.20946992 0.47489860 0.31563148 0.46105362 0.01252482 0.52642156
0.552 0.20670079 0.47835064 0.31494857 0.46281699 0.01244696 0.52473604
